
TASKTYPE,ECCMAGNITUDE,TRIAL,RT,CUE,CUEVALIDITY,STIMCOLOR,STIMLOC,RESPONSE,CORRECTRESPONSE,ACCURACY,STIMWAITTIME,TAG,RULES
ENDOATTNTASK,7 DVA,1,514,>,VALID 80%,Green,7,J,J,CORRECT,710,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,2,432,+,NEUTRAL 50%,Yellow,-7,J,J,CORRECT,768,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,3,467,>,VALID 80%,Red,7,F,F,CORRECT,1033,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,4,467,>,VALID 80%,Green,7,J,J,CORRECT,933,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,5,494,+,NEUTRAL 50%,Blue,-7,F,F,CORRECT,1106,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,6,389,+,NEUTRAL 50%,Red,7,F,F,CORRECT,1061,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,7,429,+,NEUTRAL 50%,Blue,-7,F,F,CORRECT,721,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,8,487,<,VALID 80%,Green,-7,J,J,CORRECT,1263,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,9,471,>,VALID 80%,Red,7,F,F,CORRECT,1279,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,10,414,+,NEUTRAL 50%,Red,7,F,F,CORRECT,1136,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,11,513,<,INVALID 20%,Yellow,7,J,J,CORRECT,587,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,12,494,+,NEUTRAL 50%,Blue,-7,F,F,CORRECT,806,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,13,453,>,VALID 80%,Green,7,J,J,CORRECT,947,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,14,492,<,VALID 80%,Blue,-7,F,F,CORRECT,508,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,15,448,>,VALID 80%,Yellow,7,J,J,CORRECT,952,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,16,471,>,VALID 80%,Blue,7,F,F,CORRECT,629,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,17,397,+,NEUTRAL 50%,Blue,7,F,F,CORRECT,653,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,18,392,+,NEUTRAL 50%,Blue,-7,F,F,CORRECT,558,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,19,406,+,NEUTRAL 50%,Red,-7,F,F,CORRECT,894,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,20,468,>,VALID 80%,Green,7,J,J,CORRECT,782,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,21,399,+,NEUTRAL 50%,Green,7,J,J,CORRECT,851,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,22,439,>,INVALID 20%,Yellow,-7,J,J,CORRECT,961,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,23,451,>,INVALID 20%,Yellow,-7,J,J,CORRECT,899,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,24,462,>,VALID 80%,Blue,7,F,F,CORRECT,638,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,25,469,<,VALID 80%,Green,-7,J,J,CORRECT,631,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,26,418,+,NEUTRAL 50%,Green,-7,J,J,CORRECT,1132,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,27,411,+,NEUTRAL 50%,Yellow,7,J,J,CORRECT,939,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,28,369,>,VALID 80%,Green,7,J,J,CORRECT,781,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,29,368,>,VALID 80%,Green,7,J,J,CORRECT,1232,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,30,380,<,VALID 80%,Yellow,-7,J,J,CORRECT,820,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,31,416,+,NEUTRAL 50%,Yellow,-7,J,J,CORRECT,534,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,32,375,>,VALID 80%,Yellow,7,J,J,CORRECT,1275,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,33,536,+,NEUTRAL 50%,Blue,-7,F,F,CORRECT,1164,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,34,463,>,VALID 80%,Yellow,7,J,J,CORRECT,1287,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,35,385,>,VALID 80%,Green,7,J,J,CORRECT,565,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,36,537,>,INVALID 20%,Red,-7,F,F,CORRECT,663,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,37,493,+,NEUTRAL 50%,Green,7,J,J,CORRECT,657,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,38,478,<,VALID 80%,Red,-7,F,F,CORRECT,572,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,39,337,>,VALID 80%,Blue,7,F,F,CORRECT,913,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,40,473,+,NEUTRAL 50%,Green,7,J,J,CORRECT,977,Draft,endo-atten.prs
