
TASKTYPE,ECCMAGNITUDE,TRIAL,RT,CUE,CUEVALIDITY,STIMCOLOR,STIMLOC,RESPONSE,CORRECTRESPONSE,ACCURACY,STIMWAITTIME,TAG,RULES
ENDOATTNTASK,7 DVA,1,598,+,NEUTRAL 50%,Yellow,7,J,J,CORRECT,976,Draft,EPIC
ENDOATTNTASK,7 DVA,2,453,+,NEUTRAL 50%,Red,-7,F,F,CORRECT,847,Draft,EPIC
ENDOATTNTASK,7 DVA,3,350,<,VALID 80%,Red,-7,F,F,CORRECT,1250,Draft,EPIC
ENDOATTNTASK,7 DVA,4,428,<,VALID 80%,Yellow,-7,J,J,CORRECT,672,Draft,EPIC
ENDOATTNTASK,7 DVA,5,355,>,VALID 80%,Yellow,7,J,J,CORRECT,845,Draft,EPIC
ENDOATTNTASK,7 DVA,6,349,>,VALID 80%,Yellow,7,J,J,CORRECT,1051,Draft,EPIC
ENDOATTNTASK,7 DVA,7,454,>,VALID 80%,Blue,7,F,F,CORRECT,1146,Draft,EPIC
ENDOATTNTASK,7 DVA,8,354,+,NEUTRAL 50%,Red,-7,F,F,CORRECT,796,Draft,EPIC
ENDOATTNTASK,7 DVA,9,519,>,INVALID 20%,Green,-7,J,J,CORRECT,1081,Draft,EPIC
ENDOATTNTASK,7 DVA,10,351,>,VALID 80%,Green,7,J,J,CORRECT,949,Draft,EPIC
ENDOATTNTASK,7 DVA,11,331,+,NEUTRAL 50%,Green,-7,J,J,CORRECT,1019,Draft,EPIC
ENDOATTNTASK,7 DVA,12,535,>,INVALID 20%,Blue,-7,F,F,CORRECT,1015,Draft,EPIC
ENDOATTNTASK,7 DVA,13,346,<,VALID 80%,Blue,-7,F,F,CORRECT,754,Draft,EPIC
ENDOATTNTASK,7 DVA,14,446,+,NEUTRAL 50%,Red,7,F,F,CORRECT,1204,Draft,EPIC
ENDOATTNTASK,7 DVA,15,433,+,NEUTRAL 50%,Yellow,-7,J,J,CORRECT,1217,Draft,EPIC
ENDOATTNTASK,7 DVA,16,357,>,VALID 80%,Yellow,7,J,J,CORRECT,593,Draft,EPIC
ENDOATTNTASK,7 DVA,17,527,+,NEUTRAL 50%,Red,7,F,F,CORRECT,1023,Draft,EPIC
ENDOATTNTASK,7 DVA,18,460,<,VALID 80%,Green,-7,J,J,CORRECT,540,Draft,EPIC
ENDOATTNTASK,7 DVA,19,439,+,NEUTRAL 50%,Blue,-7,F,F,CORRECT,1011,Draft,EPIC
ENDOATTNTASK,7 DVA,20,459,>,INVALID 20%,Blue,-7,F,F,CORRECT,891,Draft,EPIC
ENDOATTNTASK,7 DVA,21,361,<,VALID 80%,Blue,-7,F,F,CORRECT,939,Draft,EPIC
ENDOATTNTASK,7 DVA,22,467,+,NEUTRAL 50%,Green,-7,J,J,CORRECT,883,Draft,EPIC
ENDOATTNTASK,7 DVA,23,419,+,NEUTRAL 50%,Yellow,7,J,J,CORRECT,881,Draft,EPIC
ENDOATTNTASK,7 DVA,24,447,>,INVALID 20%,Yellow,-7,J,J,CORRECT,1153,Draft,EPIC
ENDOATTNTASK,7 DVA,25,434,+,NEUTRAL 50%,Blue,-7,F,F,CORRECT,1066,Draft,EPIC
ENDOATTNTASK,7 DVA,26,468,<,VALID 80%,Yellow,-7,J,J,CORRECT,1182,Draft,EPIC
ENDOATTNTASK,7 DVA,27,355,+,NEUTRAL 50%,Yellow,-7,J,J,CORRECT,1245,Draft,EPIC
ENDOATTNTASK,7 DVA,28,358,+,NEUTRAL 50%,Green,-7,J,J,CORRECT,842,Draft,EPIC
ENDOATTNTASK,7 DVA,29,443,<,INVALID 20%,Yellow,7,J,J,CORRECT,1157,Draft,EPIC
ENDOATTNTASK,7 DVA,30,357,<,VALID 80%,Green,-7,J,J,CORRECT,1093,Draft,EPIC
ENDOATTNTASK,7 DVA,31,460,<,VALID 80%,Blue,-7,F,F,CORRECT,1240,Draft,EPIC
ENDOATTNTASK,7 DVA,32,454,+,NEUTRAL 50%,Blue,7,F,F,CORRECT,1296,Draft,EPIC
ENDOATTNTASK,7 DVA,33,521,>,INVALID 20%,Green,-7,J,J,CORRECT,979,Draft,EPIC
ENDOATTNTASK,7 DVA,34,549,+,NEUTRAL 50%,Blue,7,F,F,CORRECT,501,Draft,EPIC
ENDOATTNTASK,7 DVA,35,352,>,VALID 80%,Red,7,F,F,CORRECT,1048,Draft,EPIC
ENDOATTNTASK,7 DVA,36,344,+,NEUTRAL 50%,Blue,-7,F,F,CORRECT,956,Draft,EPIC
ENDOATTNTASK,7 DVA,37,511,+,NEUTRAL 50%,Yellow,7,J,J,CORRECT,1189,Draft,EPIC
ENDOATTNTASK,7 DVA,38,457,<,VALID 80%,Blue,-7,F,F,CORRECT,893,Draft,EPIC
ENDOATTNTASK,7 DVA,39,450,+,NEUTRAL 50%,Yellow,-7,J,J,CORRECT,650,Draft,EPIC
ENDOATTNTASK,7 DVA,40,458,+,NEUTRAL 50%,Blue,-7,F,F,CORRECT,642,Draft,EPIC
